Country,year,ASMR_per_100k,age,Cause of death
Hungary,2013,10.11815009,all ages,(A_B) Infectious & parasitic diseases
Hungary,2013,352.8219473,all ages,(C) Malignant Neoplasms
Hungary,2013,6.039148132,all ages,(D00-D48) Neoplasms
Hungary,2013,2.400524481,all ages,(D50-D89) Blood & blood-forming organs/ immune
Hungary,2013,33.21612743,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Hungary,2013,39.41031795,all ages,(F) Mental & behavioural disorders
Hungary,2013,19.76382147,all ages,(G_H) Nervous system/ eye/ ear
Hungary,2013,776.9963634,all ages,(I) Circulatory system
Hungary,2013,81.42701794,all ages,(J) Rrespiratory system
Hungary,2013,69.33020763,all ages,(K) Digestive system
Hungary,2013,1.114099942,all ages,(L) Skin & subcutaneous tissue
Hungary,2013,4.742733899,all ages,(M) Musculoskeletal system & connective tissue  
Hungary,2013,10.96061921,all ages,(N) Genitourinary system
Hungary,2013,0.119290824,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Hungary,2013,3.03759762,all ages,(P) Perinatal period
Hungary,2013,2.847024106,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Hungary,2013,1.959926491,all ages,(R) Abnormal-not elsewhere classified
Hungary,2013,0,all ages,(U071) Covid19 identified
Hungary,2013,0,all ages,(U072) Covid19 not identified
Italy,2013,18.72039638,all ages,(A_B) Infectious & parasitic diseases
Italy,2013,251.4276656,all ages,(C) Malignant Neoplasms
Italy,2013,11.72871301,all ages,(D00-D48) Neoplasms
Italy,2013,4.174831663,all ages,(D50-D89) Blood & blood-forming organs/ immune
Italy,2013,38.83799254,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Italy,2013,25.13319985,all ages,(F) Mental & behavioural disorders
Italy,2013,34.69536034,all ages,(G_H) Nervous system/ eye/ ear
Italy,2013,323.2221308,all ages,(I) Circulatory system
Italy,2013,60.2777392,all ages,(J) Rrespiratory system
Italy,2013,33.34283808,all ages,(K) Digestive system
Italy,2013,1.574669374,all ages,(L) Skin & subcutaneous tissue
Italy,2013,4.701206337,all ages,(M) Musculoskeletal system & connective tissue  
Italy,2013,16.99803992,all ages,(N) Genitourinary system
Italy,2013,0.023519766,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Italy,2013,1.794263233,all ages,(P) Perinatal period
Italy,2013,2.21182931,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Italy,2013,16.86453453,all ages,(R) Abnormal-not elsewhere classified
Italy,2013,0,all ages,(U071) Covid19 identified
Italy,2013,0,all ages,(U072) Covid19 not identified
Lithuania,2013,21.52987639,all ages,(A_B) Infectious & parasitic diseases
Lithuania,2013,272.4888741,all ages,(C) Malignant Neoplasms
Lithuania,2013,5.39428108,all ages,(D00-D48) Neoplasms
Lithuania,2013,1.434844382,all ages,(D50-D89) Blood & blood-forming organs/ immune
Lithuania,2013,11.85834934,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Lithuania,2013,4.027313935,all ages,(F) Mental & behavioural disorders
Lithuania,2013,20.80335686,all ages,(G_H) Nervous system/ eye/ ear
Lithuania,2013,886.0938917,all ages,(I) Circulatory system
Lithuania,2013,51.80547845,all ages,(J) Rrespiratory system
Lithuania,2013,77.3869682,all ages,(K) Digestive system
Lithuania,2013,1.62134126,all ages,(L) Skin & subcutaneous tissue
Lithuania,2013,3.140001098,all ages,(M) Musculoskeletal system & connective tissue  
Lithuania,2013,11.13929689,all ages,(N) Genitourinary system
Lithuania,2013,0.06499401,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Lithuania,2013,1.423261387,all ages,(P) Perinatal period
Lithuania,2013,2.649531239,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Lithuania,2013,7.700515703,all ages,(R) Abnormal-not elsewhere classified
Lithuania,2013,0,all ages,(U071) Covid19 identified
Lithuania,2013,0,all ages,(U072) Covid19 not identified
Netherlands,2013,23.02521245,all ages,(A_B) Infectious & parasitic diseases
Netherlands,2013,284.3294558,all ages,(C) Malignant Neoplasms
Netherlands,2013,12.71616469,all ages,(D00-D48) Neoplasms
Netherlands,2013,3.704431921,all ages,(D50-D89) Blood & blood-forming organs/ immune
Netherlands,2013,26.61060935,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Netherlands,2013,79.48228209,all ages,(F) Mental & behavioural disorders
Netherlands,2013,54.38862949,all ages,(G_H) Nervous system/ eye/ ear
Netherlands,2013,281.5663201,all ages,(I) Circulatory system
Netherlands,2013,89.62723254,all ages,(J) Rrespiratory system
Netherlands,2013,31.80327353,all ages,(K) Digestive system
Netherlands,2013,2.198833227,all ages,(L) Skin & subcutaneous tissue
Netherlands,2013,7.810022571,all ages,(M) Musculoskeletal system & connective tissue  
Netherlands,2013,22.75115595,all ages,(N) Genitourinary system
Netherlands,2013,0.030545581,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Netherlands,2013,2.259829568,all ages,(P) Perinatal period
Netherlands,2013,2.572996679,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Netherlands,2013,29.78412855,all ages,(R) Abnormal-not elsewhere classified
Netherlands,2013,0,all ages,(U071) Covid19 identified
Netherlands,2013,0,all ages,(U072) Covid19 not identified
Norway,2013,23.13676579,all ages,(A_B) Infectious & parasitic diseases
Norway,2013,252.9281403,all ages,(C) Malignant Neoplasms
Norway,2013,6.565994959,all ages,(D00-D48) Neoplasms
